,Unnamed: 0,Symbol,Series,Date,Prev_Close,Open_Price,High_Price,Low_Price,Last_Price,Close_Price,Average_Price,Total_Traded_Quantity,Turnover,No_of_Trades,Deliverable_Qty,Percent_Dly_Qt_to_Traded_Qty,Date_Year,Date_Month,Day_Perc_Change,Trend,14_day_SMA,14_day_STD,14_day_bollinger_upper,14_day_bollinger_lower,Call
297,298,TITAN,EQ,2018-07-20,869.85,869.0,876.6,857.4,861.1,860.4,865.16,2048572,1772340912.3,60843,641691,31.32,2018,7,-1.09,Negative,843.6785714285717,25.836927317059757,895.3524260626912,792.0047167944522,Hold Buy / Liquidate Short
298,299,TITAN,EQ,2018-07-23,860.4,859.0,866.0,845.2,858.75,858.75,854.97,1334621,1141055001.1,45947,251139,18.82,2018,7,-0.19,Slight,841.2178571428574,22.132664749218808,885.483186641295,796.9525276444198,Hold Buy / Liquidate Short
299,300,TITAN,EQ,2018-07-24,858.75,859.0,870.9,851.5,864.0,861.65,860.7,2015425,1734685710.45,42709,961184,47.69,2018,7,0.34,Slight,839.4392857142859,18.98642408276932,877.4121338798245,801.4664375487473,Hold Buy / Liquidate Short
300,301,TITAN,EQ,2018-07-25,861.65,868.0,871.6,853.0,863.1,865.9,863.35,1453640,1254998016.75,54423,553229,38.06,2018,7,0.49,Slight,841.432142857143,20.246163997004995,881.924470851153,800.939814863133,Hold Buy / Liquidate Short
301,302,TITAN,EQ,2018-07-26,865.9,869.95,869.95,850.5,856.9,854.5,859.0,1167616,1002976613.8,33268,427824,36.64,2018,7,-1.32,Negative,843.2071428571431,20.223052888525114,883.6532486341933,802.7610370800929,Hold Buy / Liquidate Short
302,303,TITAN,EQ,2018-07-27,854.5,859.95,894.5,852.2,885.0,884.1,876.79,3210162,2814645136.3,64962,739003,23.02,2018,7,3.46,Among top gainers,847.6571428571432,21.93234226804922,891.5218273932417,803.7924583210447,Hold Buy / Liquidate Short
303,304,TITAN,EQ,2018-07-30,884.1,882.8,903.0,880.8,892.5,892.05,894.02,2418684,2162360104.05,68570,862506,35.66,2018,7,0.9,Slight positive,851.8857142857145,24.423352858184504,900.7324200020835,803.0390085693455,Hold Buy / Liquidate Short
304,305,TITAN,EQ,2018-07-31,892.05,893.0,914.0,886.4,912.05,912.35,901.98,2165312,1953067402.6,57647,618748,28.58,2018,7,2.28,Positive,859.2321428571431,26.103791407081243,911.4397256713056,807.0245600429806,Hold Buy / Liquidate Short
305,306,TITAN,EQ,2018-08-01,912.35,915.0,920.5,905.3,919.0,917.35,914.37,1818993,1663234995.5,47118,482954,26.55,2018,8,0.55,Slight positive,867.0107142857145,26.032636163182488,919.0759866120794,814.9454419593495,Hold Buy / Liquidate Short
306,307,TITAN,EQ,2018-08-02,917.35,915.0,933.6,909.25,925.0,921.5,923.53,2313020,2136148897.65,66817,630240,27.25,2018,8,0.45,Slight,872.9250000000002,28.403627544603417,929.732255089207,816.1177449107934,Hold Buy / Liquidate Short
307,308,TITAN,EQ,2018-08-03,921.5,930.0,942.0,902.2,920.0,919.2,921.39,9358677,8622985980.3,160333,2241457,23.95,2018,8,-0.25,Slight,879.2107142857145,28.19603885553975,935.602791996794,822.818636574635,Hold Buy / Liquidate Short
308,309,TITAN,EQ,2018-08-06,919.2,928.7,939.1,896.75,902.0,901.65,914.58,3763151,3441713468.8,86882,949562,25.23,2018,8,-1.91,Negative,883.2464285714287,26.9623488497341,937.1711262708969,829.3217308719605,Hold Buy / Liquidate Short
309,310,TITAN,EQ,2018-08-07,901.65,904.65,931.9,898.7,929.0,927.25,917.84,4450697,4085021364.0,102260,1199912,26.96,2018,8,2.84,Positive,889.0357142857144,27.09703665725557,943.2297876002256,834.8416409712033,Hold Buy / Liquidate Short
310,311,TITAN,EQ,2018-08-08,927.25,929.1,936.5,921.0,935.9,935.0,932.36,2163746,2017384322.85,72633,622162,28.75,2018,8,0.84,Slight positive,893.6892857142858,29.071114255669546,951.8315142256249,835.5470572029467,Hold Buy / Liquidate Short
311,312,TITAN,EQ,2018-08-09,935.0,934.8,934.8,909.3,914.95,915.3,917.36,2536080,2326491280.0,71067,938825,37.02,2018,8,-2.11,Negative,897.6107142857144,27.91504404557148,953.4408023768574,841.7806261945714,Hold Buy / Liquidate Short
312,313,TITAN,EQ,2018-08-10,915.3,915.0,932.0,913.0,916.85,920.1,924.16,2105317,1945658299.85,41289,455502,21.64,2018,8,0.52,Slight positive,901.9928571428572,26.101892483286665,954.1966421094306,849.7890721762839,Hold Buy / Liquidate Short
313,314,TITAN,EQ,2018-08-13,920.1,915.0,924.0,910.55,916.1,913.65,918.0,1316517,1208557786.9,46030,456555,34.68,2018,8,-0.7,Slight negative,905.7071428571429,23.488482096743894,952.6841070506307,858.7301786636551,Hold Buy / Liquidate Short
314,315,TITAN,EQ,2018-08-14,913.65,914.2,927.0,914.05,925.4,925.6,922.81,1404450,1296045554.6,49916,626765,44.63,2018,8,1.31,Positive,909.9714285714288,20.992221217599205,951.9558710066271,867.9869861362304,Hold Buy / Liquidate Short
315,316,TITAN,EQ,2018-08-16,925.6,924.0,929.0,917.0,919.6,919.45,923.01,1196749,1104612783.9,59629,502990,42.03,2018,8,-0.66,Slight negative,914.6107142857145,13.700634159552564,942.0119826048197,887.2094459666093,Hold Buy / Liquidate Short
316,317,TITAN,EQ,2018-08-17,919.45,924.9,945.0,921.55,940.6,941.55,938.28,2697290,2530819887.65,61578,736739,27.31,2018,8,2.4,Positive,918.7142857142859,12.401200757187011,943.5166872286599,893.9118841999119,Hold Buy / Liquidate Short
317,318,TITAN,EQ,2018-08-20,941.55,942.0,943.5,914.15,923.0,921.7,926.79,2529831,2344611856.85,59770,806533,31.88,2018,8,-2.11,Negative,920.8321428571431,9.744438396880854,940.3210196509049,901.3432660633814,Hold Short / Liquidate Buy
318,319,TITAN,EQ,2018-08-21,921.7,924.65,927.95,905.8,915.7,916.3,913.88,2531200,2313211633.2,66251,991819,39.18,2018,8,-0.59,Slight negative,921.1142857142859,9.534883900147266,940.1840535145805,902.0445179139913,Hold Short / Liquidate Buy
319,320,TITAN,EQ,2018-08-23,916.3,925.0,926.4,907.1,912.5,911.9,912.82,1571386,1434391838.75,82604,771354,49.09,2018,8,-0.48,Slight,920.7250000000001,9.807743212551665,940.3404864251034,901.1095135748968,Hold Short / Liquidate Buy
320,321,TITAN,EQ,2018-08-24,911.9,912.4,915.9,882.5,885.4,885.35,893.91,3218302,2876873712.05,86961,1641601,51.01,2018,8,-2.91,Negative,918.1428571428572,13.60977953169606,945.3624162062493,890.9232980794651,Hold Short / Liquidate Buy
321,322,TITAN,EQ,2018-08-27,885.35,894.0,900.0,887.1,892.0,890.9,892.77,1789147,1597295477.2,40933,576639,32.23,2018,8,0.63,Slight positive,916.1214285714286,15.421734341835993,946.9648972551006,885.2779598877567,Hold Short / Liquidate Buy
