Date,Unnamed: 0,Symbol,Series,Date,Prev_Close,Open_Price,High_Price,Low_Price,Last_Price,Close_Price,Average_Price,Total_Traded_Quantity,Turnover,No_of_Trades,Deliverable_Qty,Percent_Dly_Qt_to_Traded_Qty,Date_Year,Date_Month,Day_Perc_Change,Trend,pc_Open_Close,pc_High_Low,5_day_mean,5_day_std,Action
2018-07-26,2266,DHFL,EQ,2018-07-26,612.65,613.9,635.0,613.0,624.0,623.15,625.83,7889824,4937653607.7,60866,1884961,23.89,2018,7,1.71,Positive,0.015067600586414726,0.03588907014681892,0.15000000000000052,1.0801157345395898,-1
2018-07-27,2277,DHFL,EQ,2018-07-27,623.15,626.7,630.8,611.55,618.4,615.6,621.4,2925962,1818191492.35,20139,640423,21.89,2018,7,-1.21,Negative,-0.017711823839157526,0.03147739350829859,0.006000000000000516,1.225042856393195,-1
2018-07-30,2282,DHFL,EQ,2018-07-30,615.6,616.7,620.8,611.0,616.0,614.85,614.59,2716980,1669815366.25,14850,581216,21.39,2018,7,-0.12,Slight,-0.002999837846602923,0.01603927986906703,0.15800000000000053,1.1311807989883833,-1
2018-07-31,2291,DHFL,EQ,2018-07-31,614.85,617.7,617.8,599.05,601.5,600.5,605.56,3122225,1890685657.1,24587,765650,24.52,2018,7,-2.33,Negative,-0.027845232313420825,0.03129955763291879,-0.4719999999999994,1.4904428871982986,-1
2018-08-01,2302,DHFL,EQ,2018-08-01,600.5,601.65,603.95,589.15,589.85,590.9,593.18,7139231,4234851871.35,55612,2371259,33.21,2018,8,-1.6,Negative,-0.017867530956536194,0.02512093694305367,-0.7099999999999994,1.5709073811017638,1
2018-08-02,2310,DHFL,EQ,2018-08-02,590.9,591.1,620.15,588.0,601.0,602.35,602.54,7603935,4581661381.6,61625,864006,11.36,2018,8,1.94,Positive,0.01903231263745559,0.05467687074829928,-0.6639999999999995,1.660310211978473,1
2018-08-03,2325,DHFL,EQ,2018-08-03,602.35,606.0,629.2,602.85,624.9,625.7,618.37,7123070,4404721972.3,41909,1359741,19.09,2018,8,3.88,Among top gainers,0.03250825082508258,0.043709048685411,0.35400000000000054,2.5590388820805354,-1
2018-08-06,2334,DHFL,EQ,2018-08-06,625.7,631.45,636.0,620.05,621.8,622.35,628.62,5457481,3430659191.15,44665,1565752,28.69,2018,8,-0.54,Slight negative,-0.014411275635442271,0.02572373195710031,0.2700000000000006,2.585246603324332,-1
2018-08-07,2344,DHFL,EQ,2018-08-07,622.35,623.0,626.0,610.25,613.8,612.45,616.39,2547189,1570060407.95,20111,937348,36.8,2018,8,-1.59,Negative,-0.016934189406099445,0.02580909463334699,0.4180000000000005,2.414750504710579,-1
2018-08-08,2352,DHFL,EQ,2018-08-08,612.45,614.7,619.95,608.6,610.75,610.5,613.27,3081522,1889805991.5,21115,832445,27.01,2018,8,-0.32,Slight,-0.006832601268911737,0.018649359185014824,0.6740000000000006,2.2061686245615935,1
2018-08-09,2364,DHFL,EQ,2018-08-09,610.5,613.35,623.65,612.0,616.1,616.0,617.99,2203006,1361431819.2,24881,885564,40.2,2018,8,0.9,Slight positive,0.004320534768076917,0.019035947712418264,0.46600000000000064,2.1036111808031435,-1
2018-08-10,2373,DHFL,EQ,2018-08-10,616.0,619.0,620.75,609.0,612.7,611.35,613.71,1795541,1101945719.5,15099,746257,41.56,2018,8,-0.75,Slight negative,-0.012358642972536311,0.01929392446633826,-0.45999999999999935,0.8995276538272738,1
2018-08-13,2384,DHFL,EQ,2018-08-13,611.35,609.5,624.85,607.3,621.5,622.25,618.82,3381330,2092436063.35,40936,1101776,32.58,2018,8,1.78,Positive,0.02091878589007383,0.028898402766342944,0.00400000000000067,1.3389660189862913,1
