,Symbol,Series,Date,Prev_Close,Open_Price,High_Price,Low_Price,Last_Price,Close_Price,Average_Price,Total_Traded_Quantity,Turnover,No_of_Trades,Deliverable_Qty,Percent_Dly_Qt_to_Traded_Qty,Date_Month,Date_Year,Day_Perc_Change,Trend
831,MUTHOOTFIN,NB,2018-09-25,1978.0,1977.9,1978.0,1888.0,1973.0,1973.94,1965.49,646,1269708.45,21,595,92.11,9,2018,0.9837596100698458,Slight positive
833,MUTHOOTFIN,NB,2018-09-26,1973.94,1975.0,1975.0,1975.0,1975.0,1975.0,1975.0,8,15800.0,1,8,100.0,9,2018,0.0005369970718460682,Slight
835,MUTHOOTFIN,NG,2018-09-27,998.05,995.0,995.0,995.0,995.0,995.0,995.0,50,49750.0,1,50,100.0,9,2018,-0.4962025316455696,Slight
838,MUTHOOTFIN,NB,2018-10-01,1975.0,1983.0,1983.0,1961.0,1961.0,1961.43,1961.43,102,200066.0,3,100,98.04,10,2018,0.9712864321608041,Slight positive
840,MUTHOOTFIN,NB,2018-10-03,1961.43,1972.25,1980.55,1961.01,1980.55,1980.55,1971.52,40,78860.6,3,30,75.0,10,2018,0.009747989986897299,Slight
842,MUTHOOTFIN,NB,2018-10-04,1980.55,1980.55,1981.0,1980.55,1981.0,1981.0,1980.9,129,255535.5,4,129,100.0,10,2018,0.00022720961349120827,Slight
843,MUTHOOTFIN,NG,2018-10-04,995.0,1000.0,1000.0,980.0,1000.0,1000.0,992.18,238,236140.0,15,145,60.92,10,2018,-0.49520444220090865,Slight
845,MUTHOOTFIN,NB,2018-10-05,1981.0,1983.0,1983.0,1983.0,1983.0,1983.0,1983.0,21,41643.0,1,21,100.0,10,2018,0.9830000000000001,Slight positive
846,MUTHOOTFIN,NG,2018-10-05,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,100,100000.0,2,100,100.0,10,2018,-0.49571356530509325,Slight
848,MUTHOOTFIN,NB,2018-10-08,1983.0,1981.0,1983.0,1980.01,1981.0,1981.0,1980.56,101,200036.85,6,71,70.3,10,2018,0.9810000000000001,Slight positive
849,MUTHOOTFIN,NG,2018-10-08,1000.0,1000.0,1000.11,1000.0,1000.11,1000.11,1000.04,159,159005.61,4,159,100.0,10,2018,-0.4951489146895507,Slight
851,MUTHOOTFIN,NB,2018-10-09,1981.0,1983.0,1986.0,1983.0,1983.0,1984.5,1983.54,56,111078.0,4,56,100.0,10,2018,0.9842817290098089,Slight positive
852,MUTHOOTFIN,NG,2018-10-09,1000.11,997.0,997.0,997.0,997.0,997.0,997.0,23,22931.0,1,23,100.0,10,2018,-0.49760644998740233,Slight
854,MUTHOOTFIN,NB,2018-10-10,1984.5,1981.0,1985.0,1981.0,1985.0,1985.0,1982.15,193,382555.0,5,193,100.0,10,2018,0.9909729187562688,Slight positive
855,MUTHOOTFIN,NG,2018-10-10,997.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,55,55000.0,2,55,100.0,10,2018,-0.49622166246851385,Slight
857,MUTHOOTFIN,NB,2018-10-11,1985.0,1985.0,1985.0,1985.0,1985.0,1985.0,1985.0,16,31760.0,1,16,100.0,10,2018,0.9850000000000001,Slight positive
862,MUTHOOTFIN,NG,2018-10-17,1000.0,996.0,996.0,996.0,996.0,996.0,996.0,150,149400.0,1,150,100.0,10,2018,-0.4982367758186398,Slight
864,MUTHOOTFIN,NG,2018-10-19,996.0,997.01,997.01,997.01,997.01,997.01,997.01,100,99701.0,2,100,100.0,10,2018,0.0010140562248996954,Slight
871,MUTHOOTFIN,NG,2018-10-29,997.01,995.0,995.0,995.0,995.0,995.0,995.0,800,796000.0,2,800,100.0,10,2018,-0.0020160279234912037,Slight
873,MUTHOOTFIN,NG,2018-10-30,995.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,50,50200.0,1,50,100.0,10,2018,0.009045226130653283,Slight
881,MUTHOOTFIN,NG,2018-11-09,1004.0,1000.0,1003.05,1000.0,1003.05,1003.05,1002.87,53,53151.95,24,51,96.23,11,2018,-0.0009462151394422635,Slight
893,MUTHOOTFIN,NG,2018-11-27,1003.05,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,51,51000.0,2,51,100.0,11,2018,-0.003040725786351617,Slight
895,MUTHOOTFIN,NG,2018-11-28,1000.0,996.05,996.05,996.0,996.0,996.0,996.0,400,398400.5,4,400,100.0,11,2018,-0.0040000000000000036,Slight
912,MUTHOOTFIN,NG,2018-12-20,996.0,998.99,998.99,996.0,996.0,996.0,998.73,1900,1897583.0,4,1900,100.0,12,2018,0.0,Slight
919,MUTHOOTFIN,NG,2018-12-31,996.0,1010.0,1010.0,1000.0,1000.0,1000.0,1001.67,12,12020.0,3,12,100.0,12,2018,0.004016064257028162,Slight
