Symbol,Series,Date,Prev_Close,Open_Price,High_Price,Low_Price,Last_Price,Close_Price,Average_Price,Total_Traded_Quantity,Turnover,No_of_Trades,Deliverable_Qty,Percent_Dly_Qt_to_Traded_Qty
MUTHOOTFIN,EQ,2018-08-02,400.7,400.7,408.95,396.35,404.5,403.85,402.36,746798,300483183.15,10430,287937,38.56
MUTHOOTFIN,NF,2018-08-02,1003,1001,1001,1001,1001,1001,1001,1,1001,1,1,100
MUTHOOTFIN,NG,2018-08-02,975,1008,1008,1008,1008,1008,1008,5,5040,1,5,100
MUTHOOTFIN,EQ,2018-08-03,403.85,405.8,418,405,412.8,413.15,414.57,820646,340214451.15,11451,160323,19.54
MUTHOOTFIN,NB,2018-08-03,1936,1941,1950,1941,1950,1950,1941.13,710,1378200,2,710,100
MUTHOOTFIN,NF,2018-08-03,1001,999,999,997,998,998.03,997.82,735,733394.2,9,600,81.63
MUTHOOTFIN,NG,2018-08-03,1008,976.05,976.05,976.05,976.05,976.05,976.05,1,976.05,1,1,100
MUTHOOTFIN,EQ,2018-08-06,413.15,413.25,432.7,411.3,425.9,425.2,425.72,996856,424381130,23461,221012,22.17
MUTHOOTFIN,NF,2018-08-06,998.03,995,1008,995,1008,1008,996.86,70,69780,2,60,85.71
MUTHOOTFIN,EQ,2018-08-07,425.2,427.8,431.3,417.3,420,420.1,423,467110,197589456.85,7438,177330,37.96
MUTHOOTFIN,NB,2018-08-07,1950,1867.5,1948,1867.5,1947.97,1947.97,1901.99,35,66569.64,4,35,100
MUTHOOTFIN,NF,2018-08-07,1008,1006.5,1006.5,1006.5,1006.5,1006.5,1006.5,10,10065,1,10,100
MUTHOOTFIN,EQ,2018-08-08,420.1,421,427.7,416,420.65,419.95,421.84,543828,229410936.95,8551,53883,9.91
MUTHOOTFIN,NG,2018-08-08,976.05,997.05,997.05,990,990,990,993.12,135,134071.5,5,135,100
MUTHOOTFIN,EQ,2018-08-09,419.95,420,428,420,426.1,426.3,424.88,534304,227013767.25,8815,77636,14.53
MUTHOOTFIN,NF,2018-08-09,1006.5,995.5,995.5,995.5,995.5,995.5,995.5,9,8959.5,1,9,100
MUTHOOTFIN,EQ,2018-08-10,426.3,430,430,409.8,415,413.2,418.76,469306,196527181.5,7134,92599,19.73
MUTHOOTFIN,EQ,2018-08-13,413.2,411.6,416.05,405.2,413.5,411.3,410.73,282779,116146907.45,9196,90255,31.92
MUTHOOTFIN,NB,2018-08-13,1947.97,1950,1965,1950,1965,1965,1950.54,830,1618950,2,830,100
MUTHOOTFIN,NG,2018-08-13,990,992.9,992.9,992.9,992.9,992.9,992.9,4,3971.6,1,4,100
MUTHOOTFIN,EQ,2018-08-14,411.3,411,412.5,398.1,410.5,410.65,405.46,537090,217770406.45,16472,153468,28.57
MUTHOOTFIN,NB,2018-08-14,1965,1959,1959,1959,1959,1959,1959,22,43098,1,22,100
MUTHOOTFIN,EQ,2018-08-16,410.65,407.5,415.9,405.3,409,411.8,411.32,239443,98487919.5,4356,52459,21.91
MUTHOOTFIN,NB,2018-08-16,1959,1959,1959,1959,1959,1959,1959,25,48975,1,25,100
MUTHOOTFIN,EQ,2018-08-17,411.8,415,415,404.5,405.65,405.5,408.11,315217,128642445.8,7046,85765,27.21
MUTHOOTFIN,EQ,2018-08-20,405.5,403.7,407.95,390,398,398.6,397.74,899544,357784733.7,13334,218792,24.32
MUTHOOTFIN,EQ,2018-08-21,398.6,398.6,408.2,394.85,404.65,406.2,401.55,415093,166678742.5,8134,103798,25.01
MUTHOOTFIN,NB,2018-08-21,1959,1951.15,1951.15,1951.15,1951.15,1951.15,1951.15,4,7804.6,1,4,100
MUTHOOTFIN,NF,2018-08-21,995.5,981,981,981,981,981,981,27,26487,1,27,100
MUTHOOTFIN,EQ,2018-08-23,406.2,406,410.9,402.4,409.2,408.7,407.44,416629,169752513.8,12226,166780,40.03
MUTHOOTFIN,NB,2018-08-23,1951.15,1952.05,1952.15,1951.05,1952.15,1952.15,1951.82,352,687041.8,3,352,100
MUTHOOTFIN,EQ,2018-08-24,408.7,405,411.3,403.5,406.2,407.4,407.59,340424,138755055.25,8741,118911,34.93
MUTHOOTFIN,NF,2018-08-24,981,998,1020,998,1020,1020,1002.78,18,18050,3,16,88.89
MUTHOOTFIN,NG,2018-08-24,992.9,1000,1000,1000,1000,1000,1000,250,250000,3,250,100
MUTHOOTFIN,EQ,2018-08-27,407.4,407,412.85,404.65,410.6,410.2,409.84,499392,204672829.7,11641,148208,29.68
MUTHOOTFIN,NB,2018-08-27,1952.15,1953,1953,1953,1953,1953,1953,30,58590,1,30,100
MUTHOOTFIN,NF,2018-08-27,1020,920.01,997,920.01,997,997,958.51,4,3834.02,2,2,50
MUTHOOTFIN,EQ,2018-08-28,410.2,410.75,412,405.45,409.7,409.35,409.2,249326,102024149.55,4505,69453,27.86
MUTHOOTFIN,EQ,2018-08-29,409.35,409.3,415.3,407.55,410.7,409.7,411.36,291857,120058381.25,4096,83399,28.58
MUTHOOTFIN,NF,2018-08-29,997,1000,1000,1000,1000,1000,1000,10,10000,1,10,100
MUTHOOTFIN,EQ,2018-08-30,409.7,410.5,413.2,406.7,409,409.1,409.7,248167,101673696.6,4010,110001,44.33
MUTHOOTFIN,NF,2018-08-30,1000,994.5,994.5,994.5,994.5,994.5,994.5,25,24862.5,1,25,100
MUTHOOTFIN,EQ,2018-08-31,409.1,410.85,414.85,403.7,408.25,409.4,407.96,394622,160988208.1,6921,123635,31.33
