Symbol,Series,Date,Prev_Close,Open_Price,High_Price,Low_Price,Last_Price,Close_Price,Average_Price,Total_Traded_Quantity,Turnover,No_of_Trades,Deliverable_Qty,Percentage_Dly_Qt_to_Traded_Qty,Year,Month,Day_Perc_Change,Trend
AMARAJABAT,EQ,2017-05-15,926.25,928.2,938.95,928.0,929.1,933.4,934.34,442351,4.133074469E8,16295,194376,43.94,2017,5,0.0,Slight
AMARAJABAT,EQ,2017-05-16,933.4,937.3,937.3,917.4,923.0,924.7,928.74,302097,2.805705144E8,10098,139993,46.34,2017,5,-0.932076280265688,Slight negative
AMARAJABAT,EQ,2017-05-17,924.7,924.0,941.0,920.85,935.2,937.7,935.89,449382,4.2057343255E8,12467,212942,47.39,2017,5,1.405861360441224,Positive
AMARAJABAT,EQ,2017-05-18,937.7,932.45,932.45,906.0,912.85,912.1,920.0,251893,2.3174164645E8,8547,90560,35.95,2017,5,-2.7300842486936143,Negative
AMARAJABAT,EQ,2017-05-19,912.1,919.0,922.5,887.15,897.95,895.75,904.07,210088,1.899351621E8,7711,64656,30.78,2017,5,-1.7925666045389785,Negative
AMARAJABAT,EQ,2017-05-22,895.75,902.3,905.8,875.05,875.3,877.7,890.4,255592,2.2757852895E8,10813,104615,40.93,2017,5,-2.0150711694111028,Negative
AMARAJABAT,EQ,2017-05-23,877.7,878.7,889.15,860.5,869.0,874.2,876.86,451773,3.961401736E8,14140,199107,44.07,2017,5,-0.39876951122251336,Slight
AMARAJABAT,EQ,2017-05-24,874.2,874.9,886.35,805.7,830.15,835.65,841.26,1862271,1.56665253145E9,39701,669714,35.96,2017,5,-4.4097460535346675,Among top losers
AMARAJABAT,EQ,2017-05-25,835.65,833.0,848.15,824.05,839.95,837.45,836.49,402168,3.364105967E8,15675,131928,32.8,2017,5,0.21540118470652406,Slight
AMARAJABAT,EQ,2017-05-26,837.45,839.8,877.5,838.2,863.55,865.85,863.83,624926,5.398308674E8,23249,347241,55.57,2017,5,3.39124723864111,Among top gainers
AMARAJABAT,EQ,2017-05-29,865.85,865.4,866.0,842.1,860.0,858.35,855.47,297787,2.5474907165E8,7755,156768,52.64,2017,5,-0.866200843102154,Slight negative
AMARAJABAT,EQ,2017-05-30,858.35,859.65,870.0,846.2,866.05,868.35,863.64,229799,1.984634024E8,8251,88666,38.58,2017,5,1.1650259218267607,Positive
AMARAJABAT,EQ,2017-05-31,868.35,868.0,882.8,868.0,880.0,874.4,876.07,233268,2.0435818935E8,10975,110342,47.3,2017,5,0.6967236713306794,Slight positive
AMARAJABAT,EQ,2017-06-01,874.4,872.0,879.05,863.2,870.0,868.25,870.76,220491,1.9199444405E8,8756,109647,49.73,2017,6,-0.7033394327538858,Slight negative
AMARAJABAT,EQ,2017-06-02,868.25,868.95,877.45,865.6,873.4,873.65,872.17,177113,1.5447251935E8,14321,77816,43.94,2017,6,0.6219406852864932,Slight positive
AMARAJABAT,EQ,2017-06-05,873.65,874.9,882.7,872.0,881.8,880.15,878.61,148500,1.30473681E8,13032,86063,57.95,2017,6,0.7440050363417845,Slight positive
AMARAJABAT,EQ,2017-06-06,880.15,885.0,887.0,873.05,873.2,877.9,880.18,232079,2.0427210335E8,9071,144954,62.46,2017,6,-0.2556382434812248,Slight
AMARAJABAT,EQ,2017-06-07,877.9,876.1,881.6,870.05,873.0,874.25,875.37,171190,1.498553263E8,8634,84580,49.41,2017,6,-0.4157648934958398,Slight
AMARAJABAT,EQ,2017-06-08,874.25,875.0,879.85,863.5,865.5,866.95,866.99,178292,1.545777479E8,8143,96363,54.05,2017,6,-0.8350014297969637,Slight negative
AMARAJABAT,EQ,2017-06-09,866.95,871.5,871.5,856.65,858.25,860.85,860.49,285938,2.460461915E8,5894,205165,71.75,2017,6,-0.7036161254974361,Slight negative
