Date,Symbol,Series,Date,Prev_Close,Open_Price,High_Price,Low_Price,Last_Price,Close_Price,Average_Price,Total_Traded_Quantity,Turnover,No_of_Trades,Deliverable_Qty,Percent_Dly_Qt_to_Traded_Qty,Date_Year,Date_Month,Day_Perc_Change,Trend,Volatility,21_day_SMA,34_day_SMA,Trade_Call,14_day_SMA,14_day_STD,14_day_bollinger_upper,14_day_bollinger_lower
2017-05-29,DRREDDY,EQ,2017-05-29,2414.4,2430.1,2465.0,2380.35,2415.8,2425.85,2428.14,543508,1319711334.05,38559,222097,40.86,2017,5,0.47,Slight,0.034878692911220914,,,HODL,,,,
2017-05-30,DRREDDY,EQ,2017-05-30,2425.85,2419.95,2500.0,2416.15,2476.0,2481.35,2482.88,437985,1087462474.4,29802,190717,43.54,2017,5,2.29,Positive,0.05102654828921603,,,HODL,,,,
2017-05-31,DRREDDY,EQ,2017-05-31,2481.35,2490.0,2544.0,2464.0,2510.0,2523.85,2521.91,786086,1982434960.25,82413,548143,69.73,2017,5,1.71,Positive,0.05607589060508785,,,HODL,,,,
2017-06-01,DRREDDY,EQ,2017-06-01,2523.85,2540.0,2567.75,2513.9,2517.1,2522.8,2539.65,324502,824120054.8,23053,130170,40.11,2017,6,-0.04,Slight,0.05560976916439547,,,HODL,2569.507142857143,112.32163785161951,2794.150418560382,2344.8638671539043
2017-06-02,DRREDDY,EQ,2017-06-02,2522.8,2535.2,2574.8,2525.15,2548.35,2554.5,2554.08,293291,749088057.5,18438,163448,55.73,2017,6,1.26,Positive,0.051166538806091844,,,HODL,2560.842857142857,108.09042485370752,2777.023706850272,2344.6620074354423
2017-06-05,DRREDDY,EQ,2017-06-05,2554.5,2543.15,2568.0,2520.1,2531.0,2535.85,2543.32,224677,571424640.45,17781,124681,55.49,2017,6,-0.73,Slight negative,0.030599935192536166,,,HODL,2547.3964285714287,97.39944610544977,2742.195320782328,2352.5975363605294
2017-06-06,DRREDDY,EQ,2017-06-06,2535.85,2534.95,2565.5,2516.0,2546.25,2549.3,2541.61,172111,437438467.15,14592,45718,26.56,2017,6,0.53,Slight positive,0.027499377417950298,,,HODL,2533.996428571429,80.81539139460891,2695.627211360647,2372.3656457822112
2017-06-07,DRREDDY,EQ,2017-06-07,2549.3,2538.0,2564.5,2516.05,2535.0,2540.65,2543.22,247189,628654853.6,16479,115767,46.83,2017,6,-0.34,Slight,0.029686031611955207,,,HODL,2524.1178571428577,69.3769985357126,2662.871854214283,2385.3638600714326
2017-06-08,DRREDDY,EQ,2017-06-08,2540.65,2545.5,2666.25,2545.5,2634.0,2636.25,2632.9,845476,2226053263.2,48502,329752,39.0,2017,6,3.76,Among top gainers,0.04069727369558608,,,HODL,2522.6750000000006,66.56625314446056,2655.8075062889216,2389.5424937110797
2017-06-09,DRREDDY,EQ,2017-06-09,2636.25,2650.0,2650.0,2602.0,2627.1,2628.8,2624.54,206211,541209021.45,13688,53866,26.12,2017,6,-0.28,Slight,0.04081821227448737,,,HODL,2524.1107142857154,68.74547028034672,2661.601654846409,2386.619773725022
2017-06-12,DRREDDY,EQ,2017-06-12,2628.8,2626.3,2656.95,2617.05,2627.5,2630.25,2635.01,138429,364762463.7,19006,59581,43.04,2017,6,0.06,Slight,0.040653637610049025,2573.7476190476195,,HODL,2527.7392857142872,73.0942467970993,2673.9277793084857,2381.5507921200888
2017-06-13,DRREDDY,EQ,2017-06-13,2630.25,2633.2,2645.5,2612.05,2629.8,2626.7,2628.47,135916,357250684.35,13501,59164,43.53,2017,6,-0.13,Slight,0.04044296425135335,2571.409523809524,,HODL,2535.5892857142867,77.59204751720488,2690.7733807486966,2380.405190679877
2017-06-14,DRREDDY,EQ,2017-06-14,2626.7,2668.0,2699.0,2645.4,2662.05,2669.3,2672.36,748839,2001169218.75,57350,234063,31.26,2017,6,1.62,Positive,0.0395448701830139,2568.8000000000006,,HODL,2552.84642857143,78.61100300820559,2710.0684345878412,2395.6244225550186
