,Symbol,Series,Date,Prev_Close,Open_Price,High_Price,Low_Price,Last_Price,Close_Price,Average_Price,Total_Traded_Quantity,Turnover,No_of_Trades,Deliverable_Qty,Percent_Dly_Qt_to_Traded_Qty,Date_Year,Date_Month,Day_Perc_Change,Trend
12,M&amp;M,EQ,2017-05-31,1361.1,1392.5,1448.5,1392.0,1413.7,1416.95,1424.14,3941786,5613656174.25,146225,1848666,46.9,2017,5,4.1,Among top gainers
13,M&amp;M,EQ,2017-06-01,1416.95,1430.0,1441.0,1416.1,1426.65,1425.25,1429.3,1712339,2447442775.9,55540,1120694,65.45,2017,6,0.59,Slight positive
14,M&amp;M,EQ,2017-06-02,1425.25,1430.0,1434.75,1409.0,1421.95,1418.5,1425.52,1442389,2056158309.1,57116,1022592,70.9,2017,6,-0.47,Slight
15,M&amp;M,EQ,2017-06-05,1418.5,1424.95,1432.5,1421.1,1423.0,1423.7,1427.16,1151951,1644020715.35,49138,966825,83.93,2017,6,0.37,Slight
16,M&amp;M,EQ,2017-06-06,1423.7,1423.05,1429.85,1404.15,1409.0,1411.45,1410.94,803816,1134133210.95,24783,595729,74.11,2017,6,-0.86,Slight negative
17,M&amp;M,EQ,2017-06-07,1411.45,1423.15,1451.1,1413.55,1430.0,1431.9,1438.06,1904689,2739057164.95,74038,1150446,60.4,2017,6,1.45,Positive
18,M&amp;M,EQ,2017-06-08,1431.9,1433.5,1440.0,1410.1,1416.0,1417.5,1418.61,849201,1204683317.95,31059,542704,63.91,2017,6,-1.01,Negative
19,M&amp;M,EQ,2017-06-09,1417.5,1418.0,1434.7,1414.1,1427.0,1426.7,1427.36,908631,1296942193.6,45358,678656,74.69,2017,6,0.65,Slight positive
20,M&amp;M,EQ,2017-06-12,1426.7,1435.0,1458.95,1415.0,1425.0,1423.55,1436.19,1911487,2745262445.75,43194,1123387,58.77,2017,6,-0.22,Slight
21,M&amp;M,EQ,2017-06-13,1423.55,1433.0,1439.85,1414.0,1416.9,1417.65,1426.82,983018,1402592468.65,37872,624543,63.53,2017,6,-0.41,Slight
22,M&amp;M,EQ,2017-06-14,1417.65,1430.0,1432.85,1401.1,1403.45,1405.2,1410.64,942385,1329370572.85,48226,625033,66.32,2017,6,-0.88,Slight negative
23,M&amp;M,EQ,2017-06-15,1405.2,1409.0,1414.0,1378.85,1389.85,1387.65,1391.97,1567392,2181769486.15,44283,1157519,73.85,2017,6,-1.25,Negative
24,M&amp;M,EQ,2017-06-16,1387.65,1398.2,1409.35,1383.3,1384.0,1387.3,1395.65,1650375,2303340191.4,41816,1308289,79.27,2017,6,-0.03,Slight
25,M&amp;M,EQ,2017-06-19,1387.3,1393.0,1405.0,1383.75,1386.0,1388.25,1393.69,1112550,1550548333.6,41169,835879,75.13,2017,6,0.07,Slight
26,M&amp;M,EQ,2017-06-20,1388.25,1394.6,1399.0,1385.0,1386.7,1389.45,1390.46,939704,1306622140.2,48781,737146,78.44,2017,6,0.09,Slight
27,M&amp;M,EQ,2017-06-21,1389.45,1392.7,1395.4,1380.95,1383.0,1387.15,1386.75,1494718,2072792836.95,45285,1134404,75.89,2017,6,-0.17,Slight
28,M&amp;M,EQ,2017-06-22,1387.15,1385.0,1407.2,1381.7,1397.2,1396.3,1397.62,1128366,1577031003.75,39841,645065,57.17,2017,6,0.66,Slight positive
29,M&amp;M,EQ,2017-06-23,1396.3,1400.0,1418.25,1370.1,1382.0,1376.2,1393.99,1220802,1701779938.2,48080,605566,49.6,2017,6,-1.44,Negative
30,M&amp;M,EQ,2017-06-27,1376.2,1393.3,1394.5,1365.0,1368.95,1370.3,1379.19,1668109,2300640429.95,39979,1231722,73.84,2017,6,-0.43,Slight
