,Symbol,Series,Date,Prev_Close,Open_Price,High_Price,Low_Price,Last_Price,Close_Price,Average_Price,Total_Traded_Quantity,Turnover,No_of_Trades,Deliverable_Qty,Percent_Dly_Qt_to_Traded_Qty,Date_Year,Date_Month,Day_Perc_Change,Trend
0,HDFCBANK,EQ,2017-05-15,1551.65,1550.0,1557.2,1542.25,       1553.00,1553.4,1550.73,701195,1087367599.8,15104,309282,44.11,2017,5,0.0,Slight
2,HDFCBANK,EQ,2017-05-16,1553.4,1555.0,1562.0,1548.25,       1561.85,1559.65,1555.11,897594,1395856787.25,21073,347734,38.74,2017,5,0.0,Slight
3,HDFCBANK,EQ,2017-05-17,1559.65,1558.8,1565.4,1551.5,       1557.50,1557.15,1557.51,868118,1352102516.9,32732,367931,42.38,2017,5,-0.0,Slight
5,HDFCBANK,EQ,2017-05-18,1557.15,1549.0,1561.5,1548.1,       1557.50,1557.1,1556.99,776820,1209499656.15,13648,518101,66.7,2017,5,-0.0,Slight
7,HDFCBANK,EQ,2017-05-19,1557.1,1559.5,1569.9,1545.25,       1568.05,1561.25,1556.93,713534,1110925609.25,18458,296680,41.58,2017,5,0.0,Slight
9,HDFCBANK,EQ,2017-05-22,1561.25,1565.1,1580.0,1563.1,       1579.00,1576.0,1572.46,715013,1124331912.15,24974,413491,57.83,2017,5,0.01,Slight
10,HDFCBANK,EQ,2017-05-23,1576.0,1580.0,1583.55,1565.0,       1569.00,1569.1,1575.09,770043,1212889747.95,17873,489628,63.58,2017,5,-0.0,Slight
12,HDFCBANK,EQ,2017-05-24,1569.1,1569.05,1575.45,1562.0,       1567.00,1566.75,1566.76,866847,1358143699.6,34901,615909,71.05,2017,5,-0.0,Slight
13,HDFCBANK,EQ,2017-05-25,1566.75,1567.1,1629.4,1567.1,       1613.25,1617.15,1605.26,5022701,8062757340.0,60075,3585041,71.38,2017,5,0.03,Slight
15,HDFCBANK,EQ,2017-05-26,1617.15,1606.65,1632.0,1601.1,       1623.00,1626.0,1617.56,1360789,2201159155.0,31085,754482,55.44,2017,5,0.01,Slight
17,HDFCBANK,EQ,2017-05-29,1626.0,1619.8,1648.0,1617.65,       1626.65,1631.9,1634.94,1479085,2418209870.85,48257,924191,62.48,2017,5,0.0,Slight
19,HDFCBANK,EQ,2017-05-30,1631.9,1630.0,1633.5,1616.15,       1631.40,1629.05,1622.75,1108546,1798890005.0,26377,592343,53.43,2017,5,-0.0,Slight
20,HDFCBANK,EQ,2017-05-31,1629.05,1625.0,1643.0,1623.15,       1640.00,1636.2,1631.48,1329728,2169429926.8,18717,926698,69.69,2017,5,0.0,Slight
21,HDFCBANK,EQ,2017-06-01,1636.2,1639.0,1639.85,1620.55,       1627.00,1628.6,1630.91,839885,1369779680.1,21114,481729,57.36,2017,6,-0.0,Slight
23,HDFCBANK,EQ,2017-06-02,1628.6,1634.0,1646.1,1626.2,       1631.85,1634.25,1636.04,803386,1314369622.75,17867,390838,48.65,2017,6,0.0,Slight
25,HDFCBANK,EQ,2017-06-05,1634.25,1633.7,1638.95,1625.0,       1638.50,1635.55,1633.27,724975,1184083532.85,14700,327218,45.14,2017,6,0.0,Slight
27,HDFCBANK,EQ,2017-06-06,1635.55,1635.0,1643.8,1630.0,       1639.00,1638.95,1638.5,1250658,2049200642.3,14396,921531,73.68,2017,6,0.0,Slight
28,HDFCBANK,EQ,2017-06-07,1638.95,1640.4,1644.9,1630.35,       1641.30,1640.8,1638.26,638569,1046138986.8,28344,447948,70.15,2017,6,0.0,Slight
29,HDFCBANK,EQ,2017-06-08,1640.8,1643.9,1659.4,1641.65,       1643.60,1644.75,1648.3,1062192,1750808057.65,25728,582580,54.85,2017,6,0.0,Slight
30,HDFCBANK,EQ,2017-06-09,1644.75,1640.1,1670.0,1640.1,       1669.90,1666.8,1660.39,1326318,2202209561.65,41645,878389,66.23,2017,6,0.01,Slight
31,HDFCBANK,EQ,2017-06-12,1666.8,1664.0,1676.0,1660.0,       1666.00,1668.75,1666.54,992853,1654628890.15,40006,658975,66.37,2017,6,0.0,Slight
33,HDFCBANK,EQ,2017-06-13,1668.75,1661.75,1691.9,1661.0,       1674.00,1676.7,1680.14,1262905,2121860290.15,37080,831771,65.86,2017,6,0.0,Slight
34,HDFCBANK,EQ,2017-06-14,1676.7,1675.0,1679.95,1667.0,       1672.85,1671.2,1672.03,964590,1612824040.55,27840,714323,74.05,2017,6,-0.0,Slight
35,HDFCBANK,EQ,2017-06-15,1671.2,1668.0,1675.6,1653.6,       1665.00,1664.35,1662.08,881673,1465414452.25,17284,530656,60.19,2017,6,-0.0,Slight
37,HDFCBANK,EQ,2017-06-16,1664.35,1665.0,1674.7,1658.1,       1667.00,1669.25,1665.86,938776,1563872404.55,18765,583858,62.19,2017,6,0.0,Slight
39,HDFCBANK,EQ,2017-06-19,1669.25,1671.0,1696.0,1668.4,       1690.70,1692.9,1683.38,956383,1609958237.65,26370,581131,60.76,2017,6,0.01,Slight
40,HDFCBANK,EQ,2017-06-20,1692.9,1690.0,1694.0,1679.85,       1681.55,1686.55,1686.31,915066,1543084685.5,22817,675274,73.8,2017,6,-0.0,Slight
